location,latitude,longitude
Melk Abbey Sanctuary Zone,48.2285,15.3290
Innsbruck Old Town,47.2682,11.3930
Hallstatt Village Perimeter,47.5622,13.6475
Linz Castle,48.3075,14.2872
Wachau Valley Green Zone,48.3508,15.4517
Bregenz Waterfront Enclave,47.5031,9.7441
FH St Poelten Campus Data Zone,48.2054,15.6153
Salzkammergut Lake District,47.7676,13.5434
Hall in Tirol Medical Center,47.2792,11.5000
Zell am See Valley of Serenity,47.3247,12.7961
St Anton am Arlberg,47.1297,10.2683
Klagenfurt Cathedral Zone,46.6242,14.3089
Hohensalzburg Castle,47.7942,13.0456
Kufstein Fortress,47.5789,12.1628
Durnstein Village Survivers Area,48.4096,15.5177
Mondsee Waterfront Perimeter,47.8587,13.3450
Eisriesenwelt Ice Cave,47.5692,13.2754
Styrian Armoury,47.0763,15.4417
Seefeld in Tirol,47.3303,11.1892
Stiftsbibliothek Admont Preservation,47.5658,14.4309
Salzburg Cathedral,47.7981,13.0419
Esterhazy Palace,47.8516,16.5311
Hallein Salt Mine,47.6780,13.1030
Alpbach Village Towers,47.3958,11.9450
Werfen Ice Caves,47.4767,13.1842
Kitzbuhel Town,47.4489,12.3925
Seefeld Castle,47.3315,11.1892
Piber Stud Farm Zone,47.0153,15.1536
Hochosterwitz Castle,46.7667,14.5886
Hinterglemm Village,47.3839,12.5719
Waidhofen an der Ybbs,47.9722,14.7722
Fuschl am See,47.8100,13.3269
Ellmau Village Quarantaine Area,47.5304,12.3214
Eggenberg Palace Graz,47.0620,15.4180
Hohenwerfen Castle,47.4911,13.1875
Saalbach Hinterglemm Isolation Zone,47.3928,12.6392
Steyr Fortified Old Town,48.0430,14.4170
Traunsee Island community,47.9110,13.8000
Friesach Castle,46.9263,14.4176
Gussing Castle,47.0481,16.3256
Villach Botanical Garden,46.6230,13.8740
Tannberg Castle,47.3835,10.2113
Rattenberg Glass Fortress,47.5484,11.9266
Worthersee,46.6152,14.1978
Hochburg Ach Castle,48.0743,13.1231
Fohnsdorf Reinstated Ruin and Coalmine Zone,47.1983,14.6723
Ehrenhausen Castle,46.7424,15.6196
Sonnberg Castle,47.3302,9.5447
Riegersburg Castle,47.0192,15.8803
Kornberg Castle,46.9369,16.0523
Heiligenblut Safe Zone,47.0676,12.8202
Grossglockner Mountain Community,47.0709,12.6942
Mallnitz Welcomes all,47.0294,13.1736
Nockberge Biosphere Reserve,46.9566,13.8007
Lienz Defense Works,46.8309,12.7623
Ankogel Isolation Zone,46.9990,13.2096
Goldeck Mountain,46.8039,13.4937
Weissensee Boating community,46.6986,13.2326
Hochalmspitze Zone of Tranquility,46.9842,13.3231
Falkenstein Castle,48.6595,16.5389
Wilfersdorf Castle,48.6312,16.5149
Laa an der Thaya Therme,48.7219,16.3784
Mariazell Basilica,47.7724,15.3160
Oetscher Cave Network,47.8642,15.2039
