location1,location2,traveltime
Linz Castle,Melk Abbey Sanctuary Zone,69
Linz Castle,Hallstatt Village Perimeter,65
Wachau Valley Green Zone,Melk Abbey Sanctuary Zone,12
Wachau Valley Green Zone,Linz Castle,77
FH St Poelten Campus Data Zone,Melk Abbey Sanctuary Zone,19
FH St Poelten Campus Data Zone,Linz Castle,88
FH St Poelten Campus Data Zone,Wachau Valley Green Zone,15
Salzkammergut Lake District,Hallstatt Village Perimeter,16
Salzkammergut Lake District,Linz Castle,61
Hall in Tirol Medical Center,Innsbruck Old Town,8
Zell am See Valley of Serenity,Hallstatt Village Perimeter,59
Zell am See Valley of Serenity,Salzkammergut Lake District,58
Zell am See Valley of Serenity,Hall in Tirol Medical Center,86
St Anton am Arlberg,Innsbruck Old Town,75
St Anton am Arlberg,Bregenz Waterfront Enclave,43
St Anton am Arlberg,Hall in Tirol Medical Center,82
Klagenfurt Cathedral Zone,Hallstatt Village Perimeter,76
Hohensalzburg Castle,Hallstatt Village Perimeter,43
Hohensalzburg Castle,Linz Castle,89
Hohensalzburg Castle,Salzkammergut Lake District,33
Hohensalzburg Castle,Zell am See Valley of Serenity,36
Kufstein Fortress,Innsbruck Old Town,55
Kufstein Fortress,Hall in Tirol Medical Center,49
Kufstein Fortress,Zell am See Valley of Serenity,46
Kufstein Fortress,Hohensalzburg Castle,60
Durnstein Village Survivers Area,Melk Abbey Sanctuary Zone,18
Durnstein Village Survivers Area,Linz Castle,82
Durnstein Village Survivers Area,Wachau Valley Green Zone,6
Durnstein Village Survivers Area,FH St Poelten Campus Data Zone,15
Mondsee Waterfront Perimeter,Hallstatt Village Perimeter,28
Mondsee Waterfront Perimeter,Linz Castle,69
Mondsee Waterfront Perimeter,Salzkammergut Lake District,15
Mondsee Waterfront Perimeter,Zell am See Valley of Serenity,51
Mondsee Waterfront Perimeter,Hohensalzburg Castle,21
Mondsee Waterfront Perimeter,Kufstein Fortress,81
Eisriesenwelt Ice Cave,Hallstatt Village Perimeter,25
Eisriesenwelt Ice Cave,Linz Castle,83
Eisriesenwelt Ice Cave,Salzkammergut Lake District,23
Eisriesenwelt Ice Cave,Zell am See Valley of Serenity,36
Eisriesenwelt Ice Cave,Hohensalzburg Castle,22
Eisriesenwelt Ice Cave,Kufstein Fortress,74
Eisriesenwelt Ice Cave,Mondsee Waterfront Perimeter,20
Styrian Armoury,Melk Abbey Sanctuary Zone,77
Styrian Armoury,Wachau Valley Green Zone,85
Styrian Armoury,FH St Poelten Campus Data Zone,76
Styrian Armoury,Klagenfurt Cathedral Zone,81
Styrian Armoury,Durnstein Village Survivers Area,89
Seefeld in Tirol,Innsbruck Old Town,15
Seefeld in Tirol,Hall in Tirol Medical Center,21
Seefeld in Tirol,St Anton am Arlberg,63
Seefeld in Tirol,Kufstein Fortress,67
Stiftsbibliothek Admont Preservation,Melk Abbey Sanctuary Zone,74
Stiftsbibliothek Admont Preservation,Hallstatt Village Perimeter,52
Stiftsbibliothek Admont Preservation,Linz Castle,50
Stiftsbibliothek Admont Preservation,Wachau Valley Green Zone,85
Stiftsbibliothek Admont Preservation,FH St Poelten Campus Data Zone,89
Stiftsbibliothek Admont Preservation,Salzkammergut Lake District,61
Stiftsbibliothek Admont Preservation,Klagenfurt Cathedral Zone,63
