station_id,process_step,name,raw_materials,prepared_yeast,starter_solution,unfermented_solution,fermented_solution,unpurified_medicine,chroma_columns,purified_medicine,medicine,employees,sqm
1,1,Manual yeast preparation station,-10,10,0,0,0,0,0,0,0,-1,-1
2,1,Mark-2000 Yeast prepare-o-tron Deluxe,-60,60,0,0,0,0,0,0,0,-2,-10
3,2,Yeast Mixing Station Workbench,-250,-5,250,0,0,0,0,0,0,-1,-1
4,2,Biogenix Autobarrel Mixer,-1000,-20,1000,0,0,0,0,0,0,-1,-2
5,2,Optimed AI Powered Yeast Preparation Robot,-3000,-60,3000,0,0,0,0,0,0,0,-8
6,3,Manual fermentation pump,-300,0,-100,400,0,0,0,0,0,-2,-1
7,3,Pharmasource high pressure pumping system version 121,-3000,0,-1000,4000,0,0,0,0,0,-2,-2
8,4,Small Fermentation barrel,0,0,0,-200,200,0,0,0,0,0,-1
9,4,High pressure fermentation barrel,0,0,0,-1000,1000,0,0,0,0,-1,-2
10,4,Large fast fermenting centrifuge,0,0,0,-2000,2000,0,0,0,0,-3,-10
11,5,Manual filter table,-25,0,0,0,-200,50,0,0,0,-1,-1
12,5,Large automated filter press,-200,0,0,0,-1600,400,0,0,0,-2,-6
13,6,Small chromatography preparation desk,-100,0,0,0,0,0,200,0,0,-1,-1
14,6,Large Chromatography column preparation tank,-1000,0,0,0,0,0,2000,0,0,-3,-8
15,7,Manual chromatography filtering,0,0,0,0,0,-200,-200,4,0,-1,-1
16,7,Slow chromatography filtering tank,0,0,0,0,0,-1000,-1000,20,0,-1,-8
17,7,Fast chromatography centrifuge,0,0,0,0,0,-400,-400,8,0,-2,-1
18,8,Manual Package Station,0,0,0,0,0,0,0,-5,5,-1,-1
19,8,LifeTech Packager Robot,0,0,0,0,0,0,0,-50,50,-1,-4
